observationURI,sequenceNumber,obsID,collection,observationID,algorithm_name,type,intent
b'caom:TESS/tess2018210135942-s0001-1-3-0120-s',1.0,b'00000000-0000-0000-a40c-065cf750565e',b'TESS',b'tess2018210135942-s0001-1-3-0120-s',b'exposure',b'',b'science'
b'caom:TESS/tess2018210135942-s0001-3-3-0120-s',1.0,b'00000000-0000-0000-98c8-a80491441263',b'TESS',b'tess2018210135942-s0001-3-3-0120-s',b'exposure',b'',b'science'
b'caom:TESS/tess2018210135942-s0001-3-2-0120-s',1.0,b'00000000-0000-0000-850f-0a07963ef43f',b'TESS',b'tess2018210135942-s0001-3-2-0120-s',b'exposure',b'',b'science'
b'caom:TESS/tess2018210135942-s0001-2-2-0120-s',1.0,b'00000000-0000-0000-a3bf-3963fd8c1214',b'TESS',b'tess2018210135942-s0001-2-2-0120-s',b'exposure',b'',b'science'
b'caom:TESS/tess2018210135942-s0001-3-1-0120-s',1.0,b'00000000-0000-0000-a7c2-94e686f41ef1',b'TESS',b'tess2018210135942-s0001-3-1-0120-s',b'exposure',b'',b'science'
b'caom:TESS/tess2018234235059-s0002-0000000471013553-0121-s',2.0,b'00000000-0000-0000-bae1-f01eb8a3467a',b'TESS',b'tess2018234235059-s0002-0000000471013553-0121-s',b'timeseries',b'',b'science'
b'caom:JCMT/acsis_00020_20150907T101359',20.0,b'00000000-0000-0000-0644-6118291f8b7b',b'JCMT',b'acsis_00020_20150907T101359',b'exposure',b'grid',b'science'
b'caom:TESS/tess2019140104343-s0012-0000000298110135-0144-s',12.0,b'00000000-0000-0000-8354-70e48756619b',b'TESS',b'tess2019140104343-s0012-0000000298110135-0144-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019140104343-s0012-0000000471013553-0144-s',12.0,b'00000000-0000-0000-b9bd-6249c774625b',b'TESS',b'tess2019140104343-s0012-0000000471013553-0144-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019140104343-s0012-0000000471013513-0144-s',12.0,b'00000000-0000-0000-98f1-4c4a3b179b71',b'TESS',b'tess2019140104343-s0012-0000000471013513-0144-s',b'timeseries',b'',b'science'
